YYYY-MM-DD,daily_rain,max_temp,min_temp
1/01/1958,8.588888889,19.56666667,16.54444444
2/01/1958,8.266666667,24.65555556,14.37777778
3/01/1958,0,26.23333333,14.6
4/01/1958,0,26.66666667,15.66666667
5/01/1958,0,27.2,14.37777778
6/01/1958,0,32.68888889,13.22222222
7/01/1958,0,29.13333333,17.07777778
8/01/1958,0,27.97777778,15.92222222
9/01/1958,0,29.67777778,15.92222222
10/01/1958,0,30.91111111,14.6
11/01/1958,0,33.77777778,16.04444444
12/01/1958,0,35.12222222,18.56666667
13/01/1958,0.055555556,29.34444444,17.71111111
14/01/1958,0,33.2,15.44444444
15/01/1958,0,36.97777778,17.25555556
16/01/1958,0,35.71111111,19.71111111
17/01/1958,0,30.1,19.98888889
18/01/1958,0.466666667,28.57777778,17.88888889
19/01/1958,0.088888889,32.71111111,18.31111111
20/01/1958,5.711111111,26.98888889,18.11111111
21/01/1958,0.4,33.86666667,18.56666667
22/01/1958,11.51111111,32.36666667,14.63333333
23/01/1958,2.611111111,29.56666667,17.58888889
24/01/1958,1.188888889,29.53333333,18
25/01/1958,13.9,29.81111111,17.78888889
26/01/1958,2.855555556,30.92222222,19.15555556
27/01/1958,0.1,30.82222222,18.55555556
28/01/1958,0,31.48888889,17.97777778
29/01/1958,0.866666667,29.41111111,18.33333333
30/01/1958,7.011111111,29.71111111,18.93333333
31/01/1958,4.055555556,26.81111111,20.24444444
1/02/1958,10.48888889,26.15555556,21.55555556
2/02/1958,17.93333333,31.08888889,18.66666667
3/02/1958,10.88888889,30.83333333,16.51111111
4/02/1958,0,31.73333333,18.67777778
5/02/1958,0,31.87777778,19.17777778
6/02/1958,5.6,30.57777778,19.91111111
7/02/1958,4.6,29.22222222,17.94444444
8/02/1958,0.011111111,30.53333333,18.06666667
9/02/1958,1.066666667,28.03333333,19.26666667
10/02/1958,0.666666667,31.33333333,19.7
11/02/1958,0.311111111,32.8,19.71111111
12/02/1958,5.033333333,31.72222222,19.41111111
13/02/1958,0.066666667,28.54444444,16.43333333
14/02/1958,0,27.22222222,15.98888889
15/02/1958,0,27.77777778,16.37777778
16/02/1958,0,26.21111111,17.36666667
17/02/1958,0.188888889,24.36666667,18.57777778
18/02/1958,0.655555556,25.94444444,18.51111111
19/02/1958,0.944444444,26.05555556,19.56666667
20/02/1958,9.666666667,27.81111111,21.44444444
21/02/1958,20.9,22.38888889,18.14444444
22/02/1958,3.777777778,24.91111111,15.77777778
23/02/1958,0,31.32222222,14.9
24/02/1958,0,26.94444444,16.45555556
25/02/1958,0,26.73333333,14.78888889
26/02/1958,0,27.82222222,15.85555556
27/02/1958,0,28.74444444,15.4
28/02/1958,0,29.14444444,16.2
1/03/1958,0,29.54444444,14.94444444
2/03/1958,0,30.92222222,15.4
3/03/1958,1.588888889,32.03333333,17.1
4/03/1958,21.47777778,28.11111111,17.7
5/03/1958,7.133333333,27.04444444,18.9
6/03/1958,56.63333333,22.44444444,17.11111111
7/03/1958,0.477777778,27.43333333,16.66666667
8/03/1958,0.222222222,27.93333333,18.4
9/03/1958,1,28.27777778,18.73333333
10/03/1958,1.022222222,30.33333333,17.88888889
11/03/1958,1.077777778,29.87777778,19.41111111
12/03/1958,20.27777778,29.65555556,20.8
13/03/1958,8.833333333,29.72222222,18.74444444
14/03/1958,0,27.81111111,19.5
15/03/1958,2.077777778,23.58888889,17.67777778
16/03/1958,0,21.12222222,15.71111111
17/03/1958,1.1,21.76666667,15.51111111
18/03/1958,0.455555556,23.92222222,15.17777778
19/03/1958,0.033333333,23.96666667,15.64444444
20/03/1958,0.388888889,24.7,14.55555556
21/03/1958,0.011111111,26.31111111,15.95555556
22/03/1958,0,29.12222222,15.96666667
23/03/1958,0,30.13333333,15.2
24/03/1958,0,30.28888889,17.85555556
25/03/1958,0,27.82222222,12.93333333
26/03/1958,0,25.62222222,15.15555556
27/03/1958,0,27.08888889,12.57777778
28/03/1958,0,29.2,14.36666667
29/03/1958,0,26.87777778,18.97777778
30/03/1958,1.355555556,24.17777778,17.66666667
31/03/1958,1.3,22.98888889,18.52222222
1/04/1958,11.45555556,21.82222222,18.6
2/04/1958,4.911111111,22.87777778,18.81111111
3/04/1958,11.01111111,20.98888889,18.12222222
4/04/1958,4.466666667,23.52222222,16.93333333
5/04/1958,1.777777778,23.4,14.67777778
6/04/1958,0.122222222,24.14444444,14.34444444
7/04/1958,0.011111111,25.32222222,15.32222222
8/04/1958,0.088888889,26.52222222,12.53333333
9/04/1958,0.066666667,24.53333333,16.05555556
10/04/1958,0.366666667,22.5,13.31111111
11/04/1958,2.088888889,20.68888889,15.05555556
12/04/1958,0.3,22.62222222,14.17777778
13/04/1958,1.866666667,20.37777778,15.06666667
14/04/1958,1.288888889,23.12222222,14.9
15/04/1958,2.333333333,23.06666667,16.32222222
16/04/1958,23.03333333,25.58888889,15.8
17/04/1958,0,24.11111111,10.08888889
18/04/1958,0.011111111,22.71111111,13.68888889
19/04/1958,0,22.66666667,12.84444444
20/04/1958,0,24.08888889,15.24444444
21/04/1958,0.122222222,21.82222222,14.53333333
22/04/1958,2.388888889,21.91111111,14.82222222
23/04/1958,0,22.77777778,11.13333333
24/04/1958,3.633333333,22.32222222,14.04444444
25/04/1958,2.466666667,22.47777778,11.18888889
26/04/1958,0.966666667,20.96666667,10.93333333
27/04/1958,1.433333333,20.84444444,10.2
28/04/1958,0.888888889,21.27777778,10.57777778
29/04/1958,0,20.72222222,9.622222222
30/04/1958,0,21.27777778,11.95555556
1/05/1958,0.566666667,20.65555556,12.85555556
2/05/1958,0.033333333,21.97777778,11.86666667
3/05/1958,0.022222222,24.5,10.31111111
4/05/1958,0,26.47777778,9.511111111
5/05/1958,0,24.75555556,7.433333333
6/05/1958,0,22.83333333,7.588888889
7/05/1958,0,23.23333333,8.877777778
8/05/1958,0,24.41111111,10.92222222
9/05/1958,0,23.36666667,6.244444444
10/05/1958,0,21.76666667,11.81111111
11/05/1958,0.055555556,19.92222222,12.86666667
12/05/1958,0.022222222,20.86666667,11.92222222
13/05/1958,0,23.07777778,8.977777778
14/05/1958,0,26.02222222,13.58888889
15/05/1958,0,23.71111111,16.05555556
16/05/1958,0.144444444,23.18888889,14.66666667
17/05/1958,0,22.26666667,12.32222222
18/05/1958,0,22.85555556,7.455555556
19/05/1958,0,22.23333333,4.222222222
20/05/1958,0,22.28888889,4.4
21/05/1958,0.111111111,21.52222222,5.3
22/05/1958,0.133333333,19.45555556,12.51111111
23/05/1958,0,24.75555556,10.65555556
24/05/1958,0,25.94444444,10.86666667
25/05/1958,0,27.7,11.97777778
26/05/1958,0,21.88888889,14.25555556
27/05/1958,0,22.62222222,5.144444444
28/05/1958,0,22.08888889,1.1
29/05/1958,0,21.43333333,4.366666667
30/05/1958,0,19.98888889,2.511111111
31/05/1958,0,20.24444444,9.066666667
1/06/1958,0.6,17.54444444,9.077777778
2/06/1958,1.544444444,18.87777778,12.92222222
3/06/1958,0.011111111,17.12222222,13
4/06/1958,2.422222222,18.37777778,14.17777778
5/06/1958,0.511111111,24.6,13.73333333
6/06/1958,0.044444444,24.67777778,12.77777778
7/06/1958,2.033333333,17.08888889,12.16666667
8/06/1958,11.5,13.13333333,11.61111111
9/06/1958,17.7,15.74444444,11.82222222
10/06/1958,13.02222222,15.07777778,12.84444444
11/06/1958,12.24444444,18.35555556,11.51111111
12/06/1958,0.055555556,17.84444444,8.311111111
13/06/1958,0,18.81111111,5.866666667
14/06/1958,0,16.1,5.566666667
15/06/1958,0,10.34444444,4.333333333
16/06/1958,0.244444444,16.08888889,1.344444444
17/06/1958,3.633333333,14.13333333,7.9
18/06/1958,0.8,16.4,4.5
19/06/1958,0.477777778,17.64444444,9.288888889
20/06/1958,0.066666667,19.8,6.733333333
21/06/1958,0,21.57777778,10.76666667
22/06/1958,0,22.83333333,7.511111111
23/06/1958,0,21.47777778,8.377777778
24/06/1958,0.222222222,22.74444444,8.466666667
25/06/1958,1.8,17.66666667,10.98888889
26/06/1958,0,15.43333333,5.322222222
27/06/1958,0.911111111,12,7.244444444
28/06/1958,2.877777778,13.52222222,9.055555556
29/06/1958,2.255555556,14.3,8.844444444
30/06/1958,0.455555556,11.52222222,6.322222222
1/07/1958,0.811111111,13.13333333,5.944444444
2/07/1958,0.111111111,17.57777778,5.7
3/07/1958,0,18.41111111,-0.022222222
4/07/1958,0,19.72222222,0.322222222
5/07/1958,0.266666667,21.83333333,3.377777778
6/07/1958,0.877777778,17.26666667,4.9
7/07/1958,0.444444444,18.11111111,1.955555556
8/07/1958,0,16.21111111,0.877777778
9/07/1958,0,17.52222222,-0.066666667
10/07/1958,0,15.75555556,3.344444444
11/07/1958,0,16.74444444,-1.633333333
12/07/1958,0,15.92222222,-0.211111111
13/07/1958,0,16.46666667,-2.377777778
14/07/1958,0,17.98888889,-3.955555556
15/07/1958,0,19.81111111,2.466666667
16/07/1958,1.644444444,21.78888889,11.25555556
17/07/1958,13.13333333,16.26666667,11.42222222
18/07/1958,0.222222222,16.11111111,4.566666667
19/07/1958,0,15.7,4.6
20/07/1958,0,15.13333333,2.877777778
21/07/1958,0,17.32222222,3.511111111
22/07/1958,0,15.41111111,0.488888889
23/07/1958,0,15.23333333,2.555555556
24/07/1958,0,18.64444444,0.622222222
25/07/1958,0,20.86666667,0.155555556
26/07/1958,0,20.04444444,-0.511111111
27/07/1958,0,21.54444444,-0.444444444
28/07/1958,0,24.43333333,2.422222222
29/07/1958,0,24.72222222,3.9
30/07/1958,0,20.55555556,10.05555556
31/07/1958,0,19.24444444,7.177777778
1/08/1958,0,19.64444444,6.477777778
2/08/1958,0,20.5,2.911111111
3/08/1958,1.988888889,15.86666667,9.077777778
4/08/1958,13,13.51111111,10.01111111
5/08/1958,5.077777778,18.23333333,10.17777778
6/08/1958,0.022222222,19.67777778,11.45555556
7/08/1958,0.033333333,22.67777778,12.11111111
8/08/1958,3.466666667,18.65555556,5.688888889
9/08/1958,0,17.93333333,6.111111111
10/08/1958,0,17.86666667,4.3
11/08/1958,0,20.38888889,6.366666667
12/08/1958,0,20,9.4
13/08/1958,0,21.27777778,11.05555556
14/08/1958,0.244444444,20.42222222,9.822222222
15/08/1958,0.122222222,19.83333333,12.11111111
16/08/1958,0,22.37777778,13.62222222
17/08/1958,1,18.51111111,6.8
18/08/1958,0,17.87777778,5.322222222
19/08/1958,0,16.67777778,4.911111111
20/08/1958,0.011111111,15.85555556,2.944444444
21/08/1958,0,16.05555556,3.366666667
22/08/1958,0,18.36666667,-2.222222222
23/08/1958,0,22.5,-0.833333333
24/08/1958,0,22.96666667,2.044444444
25/08/1958,0.788888889,20.6,12.35555556
26/08/1958,7.544444444,16.92222222,8.255555556
27/08/1958,0,17.53333333,4.822222222
28/08/1958,0,19.38888889,1.622222222
29/08/1958,0,17.85555556,2.733333333
30/08/1958,0,16.92222222,-0.644444444
31/08/1958,0,17.92222222,-0.211111111
1/09/1958,0,18.72222222,4.055555556
2/09/1958,1.133333333,19.62222222,7
3/09/1958,11.78888889,19.45555556,10.8
4/09/1958,0.066666667,18.24444444,5.488888889
5/09/1958,1.322222222,16.17777778,3.811111111
6/09/1958,0,19.16666667,4.033333333
7/09/1958,0.011111111,19.33333333,3.811111111
8/09/1958,0,21.4,5.3
9/09/1958,0,22.01111111,5.522222222
10/09/1958,0.522222222,23.34444444,4.466666667
11/09/1958,6.022222222,17.92222222,11.01111111
12/09/1958,0,18.56666667,2.233333333
13/09/1958,0,17.03333333,6.111111111
14/09/1958,0,19.38888889,3.077777778
15/09/1958,0.422222222,19.88888889,7.644444444
16/09/1958,4.955555556,20.27777778,9.5
17/09/1958,0,22.44444444,13.74444444
18/09/1958,1.366666667,17.63333333,10.81111111
19/09/1958,0,18.96666667,0.922222222
20/09/1958,0,20.37777778,1.611111111
21/09/1958,0,15.37777778,5.788888889
22/09/1958,0,19.74444444,3.777777778
23/09/1958,0,21.02222222,5.033333333
24/09/1958,0,20.61111111,7.355555556
25/09/1958,0,20.68888889,8.644444444
26/09/1958,0.033333333,22.87777778,10.88888889
27/09/1958,1.411111111,22.1,14
28/09/1958,2.488888889,22.71111111,6.755555556
29/09/1958,0.444444444,22.42222222,5.744444444
30/09/1958,1.966666667,22.35555556,9.555555556
1/10/1958,3.522222222,18.82222222,9.766666667
2/10/1958,0.033333333,22.37777778,7.6
3/10/1958,0,23.5,11.28888889
4/10/1958,0,27.52222222,11.77777778
5/10/1958,0,31.97777778,11.47777778
6/10/1958,6.211111111,27.48888889,19.36666667
7/10/1958,43.62222222,25.33333333,15.48888889
8/10/1958,0.155555556,24.24444444,14.1
9/10/1958,0.177777778,23.27777778,12.56666667
10/10/1958,1.6,18.74444444,14.43333333
11/10/1958,9.4,23.28888889,15.18888889
12/10/1958,0,22.95555556,12.11111111
13/10/1958,0,22.78888889,6.466666667
14/10/1958,0,23.6,7.6
15/10/1958,0,24.71111111,10.9
16/10/1958,3.911111111,25.46666667,12.65555556
17/10/1958,30.36666667,19.45555556,9.844444444
18/10/1958,0,23.23333333,6.966666667
19/10/1958,0,24.14444444,7.144444444
20/10/1958,0,24.86666667,6.666666667
21/10/1958,0,27.01111111,8.322222222
22/10/1958,0,28.03333333,7.655555556
23/10/1958,0,29.57777778,8.455555556
24/10/1958,0,27.72222222,10.33333333
25/10/1958,0,19.24444444,10.5
26/10/1958,0,24.32222222,5.422222222
27/10/1958,0,28.67777778,4.733333333
28/10/1958,0,32.22222222,9.9
29/10/1958,0,33.9,13.51111111
30/10/1958,0,37.33333333,16.46666667
31/10/1958,0,34.94444444,16.33333333
1/11/1958,0,25.57777778,16.5
2/11/1958,0.311111111,26.43333333,9.344444444
3/11/1958,0,27.77777778,7.9
4/11/1958,0.877777778,28.78888889,14.8
5/11/1958,9.088888889,31.58888889,16.68888889
6/11/1958,5,27.35555556,17.27777778
7/11/1958,7.4,30.28888889,16.17777778
8/11/1958,7.866666667,29.82222222,16.36666667
9/11/1958,0,32.07777778,15.26666667
10/11/1958,0.211111111,34.98888889,16.38888889
11/11/1958,2.133333333,32.6,19
12/11/1958,0.322222222,30.53333333,18.24444444
13/11/1958,0,30.86666667,16.77777778
14/11/1958,1.566666667,26.05555556,16.12222222
15/11/1958,0,27.52222222,9.922222222
16/11/1958,0,27.52222222,14.63333333
17/11/1958,0.088888889,23.05555556,14.62222222
18/11/1958,0.222222222,22.67777778,12.47777778
19/11/1958,0.055555556,22.96666667,12.05555556
