group_id,lat1,lat2,lat3,lat4,lat5,lat6,lat7,lat8,lat9,lon1,lon2,lon3,lon4,lon5,lon6,lon7,lon8,lon9
-27.45_151.95,-27.45,151.95,-27.45,152,-27.4,152,-27.45,152.05,-27.4,152.05,,,,,,,,
-27.45_152.10,-27.45,152.1,-27.4,152.1,-27.45,152.15,-27.4,152.15,-27.45,152.2,-27.4,152.2,,,,,,
-27.45_152.25,-27.45,152.25,-27.4,152.25,-27.45,152.3,-27.4,152.3,-27.45,152.35,-27.4,152.35,,,,,,
-27.45_152.40,-27.45,152.4,-27.4,152.4,-27.45,152.45,,,,,,,,,,,,
-27.60_151.95,-27.6,151.95,-27.55,151.95,-27.5,151.95,-27.6,152,-27.55,152,-27.5,152,-27.6,152.05,-27.55,152.05,-27.5,152.05
-27.60_152.10,-27.6,152.1,-27.55,152.1,-27.5,152.1,-27.6,152.15,-27.55,152.15,-27.5,152.15,-27.6,152.2,-27.55,152.2,-27.5,152.2
-27.60_152.25,-27.6,152.25,-27.55,152.25,-27.5,152.25,-27.6,152.3,-27.55,152.3,-27.5,152.3,-27.6,152.35,-27.55,152.35,-27.5,152.35
-27.60_152.40,-27.6,152.4,-27.55,152.4,-27.5,152.4,-27.6,152.45,-27.55,152.45,-27.5,152.45,-27.6,152.5,-27.55,152.5,-27.5,152.5
-27.75_151.95,-27.65,151.95,-27.7,152,-27.65,152,-27.75,152.05,-27.7,152.05,-27.65,152.05,,,,,,
-27.75_152.10,-27.75,152.1,-27.7,152.1,-27.65,152.1,-27.75,152.15,-27.7,152.15,-27.65,152.15,-27.75,152.2,-27.7,152.2,-27.65,152.2
-27.75_152.25,-27.75,152.25,-27.7,152.25,-27.65,152.25,-27.75,152.3,-27.7,152.3,-27.65,152.3,-27.75,152.35,-27.7,152.35,-27.65,152.35
-27.75_152.40,-27.75,152.4,-27.7,152.4,-27.65,152.4,-27.65,152.45,-27.65,152.5,,,,,,,,
-27.9_152.10,-27.85,152.15,-27.8,152.15,-27.85,152.2,-27.8,152.2,,,,,,,,,,
-27.9_152.25,-27.85,152.25,-27.8,152.25,-27.85,152.3,-27.8,152.3,-27.85,152.35,-27.8,152.35,,,,,,
-27.9_152.40,-27.85,152.4,-27.8,152.4,,,,,,,,,,,,,,
-28.05_152.10,-27.9,152.15,-27.95,152.2,-27.9,152.2,,,,,,,,,,,,
-28.05_152.25,-27.95,152.25,-27.9,152.25,-27.95,152.3,-27.9,152.3,-27.95,152.35,-27.9,152.35,,,,,,
-28.05_152.40,-28,152.4,-27.95,152.4,-27.9,152.4,,,,,,,,,,,,
