YYYY-MM-DD,daily_rain,max_temp,min_temp,,,,,,,,,,,,,,,,,
1/01/1958,7.133333333,25.85555556,18.67777778,,,,,,,,,,,,,,,,,
2/01/1958,6.677777778,28.11111111,17.17777778,,,,,,,,,,,,,,,,,
3/01/1958,0,28.11111111,16.66666667,,,,,,,,,,,,,,,,,
4/01/1958,0,29.33333333,17.75555556,,,,,,,,,,,,,,,,,
5/01/1958,0,29.17777778,16.56666667,,,,,,,,,,,,,,,,,
6/01/1958,0,33.87777778,14.92222222,,,,,,,,,,,,,,,,,
7/01/1958,0,31.22222222,18.47777778,,,,,,,,,,,,,,,,,
8/01/1958,0,27.76666667,18.56666667,,,,,,,,,,,,,,,,,
9/01/1958,0,30.87777778,18.16666667,,,,,,,,,,,,,,,,,
10/01/1958,0,32.83333333,16.42222222,,,,,,,,,,,,,,,,,
11/01/1958,0,34.46666667,17.44444444,,,,,,,,,,,,,,,,,
12/01/1958,0.277777778,36.33333333,20.08888889,,,,,,,,,,,,,,,,,
13/01/1958,0.933333333,30.82222222,19.94444444,,,,,,,,,,,,,,,,,
14/01/1958,0,35.01111111,17.03333333,,,,,,,,,,,,,,,,,
15/01/1958,0,37.94444444,18.47777778,,,,,,,,,,,,,,,,,
16/01/1958,0,35.43333333,21.26666667,,,,,,,,,,,,,,,,,
17/01/1958,0,32.03333333,22.17777778,,,,,,,,,,,,,,,,,
18/01/1958,0,31.91111111,20.93333333,,,,,,,,,,,,,,,,,
19/01/1958,1.277777778,34.51111111,21.13333333,,,,,,,,,,,,,,,,,
20/01/1958,0,30.75555556,21.34444444,,,,,,,,,,,,,,,,,
21/01/1958,2.722222222,35.17777778,19.45555556,,,,,,,,,,,,,,,,,
22/01/1958,6.844444444,35.83333333,17.33333333,,,,,,,,,,,,,,,,,
23/01/1958,0.066666667,31.04444444,20.2,,,,,,,,,,,,,,,,,
24/01/1958,7.088888889,31.8,19.88888889,,,,,,,,,,,,,,,,,
25/01/1958,3.188888889,31.63333333,20.43333333,,,,,,,,,,,,,,,,,
26/01/1958,5.822222222,32.5,21.03333333,,,,,,,,,,,,,,,,,
27/01/1958,10.13333333,33.42222222,20.12222222,,,,,,,,,,,,,,,,,
28/01/1958,0.088888889,33.44444444,19.9,,,,,,,,,,,,,,,,,
29/01/1958,0,32.48888889,20.03333333,,,,,,,,,,,,,,,,,
30/01/1958,0.755555556,32.38888889,21.92222222,,,,,,,,,,,,,,,,,
31/01/1958,12.25555556,28.67777778,22.81111111,,,,,,,,,,,,,,,,,
1/02/1958,22.25555556,28.51111111,22.94444444,,,,,,,,,,,,,,,,,
2/02/1958,7.422222222,34.38888889,20.84444444,,,,,,,,,,,,,,,,,
3/02/1958,8.566666667,33.44444444,19.84444444,,,,,,,,,,,,,,,,,
4/02/1958,0,33.15555556,21.13333333,,,,,,,,,,,,,,,,,
5/02/1958,0,33.35555556,21.24444444,,,,,,,,,,,,,,,,,
6/02/1958,0.011111111,32.54444444,21.44444444,,,,,,,,,,,,,,,,,
7/02/1958,2.477777778,30.91111111,19.97777778,,,,,,,,,,,,,,,,,
8/02/1958,0.011111111,31.48888889,20.1,,,,,,,,,,,,,,,,,
9/02/1958,0,31.51111111,20.52222222,,,,,,,,,,,,,,,,,
10/02/1958,0,33.56666667,21.96666667,,,,,,,,,,,,,,,,,
11/02/1958,1.344444444,34.41111111,22.01111111,,,,,,,,,,,,,,,,,
12/02/1958,4.866666667,33.12222222,22.13333333,,,,,,,,,,,,,,,,,
13/02/1958,0,30.21111111,19.33333333,,,,,,,,,,,,,,,,,
14/02/1958,0,29.56666667,18.37777778,,,,,,,,,,,,,,,,,
15/02/1958,0,29.97777778,18.97777778,,,,,,,,,,,,,,,,,
16/02/1958,0,29.11111111,19.73333333,,,,,,,,,,,,,,,,,
17/02/1958,0.033333333,25.82222222,20.46666667,,,,,,,,,,,,,,,,,
18/02/1958,0.533333333,27.97777778,20.56666667,,,,,,,,,,,,,,,,,
19/02/1958,1.222222222,27.36666667,21.67777778,,,,,,,,,,,,,,,,,
20/02/1958,10.4,29.7,23.53333333,,,,,,,,,,,,,,,,,
21/02/1958,78.63333333,24.25555556,20.04444444,,,,,,,,,,,,,,,,,
22/02/1958,11.45555556,27.38888889,18.32222222,,,,,,,,,,,,,,,,,
23/02/1958,0,33.78888889,17.97777778,,,,,,,,,,,,,,,,,
24/02/1958,0,28.15555556,19.46666667,,,,,,,,,,,,,,,,,
25/02/1958,0,28.74444444,17.56666667,,,,,,,,,,,,,,,,,
26/02/1958,0,29.66666667,17.41111111,,,,,,,,,,,,,,,,,
27/02/1958,0,30.65555556,17.51111111,,,,,,,,,,,,,,,,,
28/02/1958,0,30.95555556,17.65555556,,,,,,,,,,,,,,,,,
1/03/1958,0,31.17777778,16.47777778,,,,,,,,,,,,,,,,,
2/03/1958,0,32.28888889,16.93333333,,,,,,,,,,,,,,,,,
3/03/1958,0.377777778,33.13333333,19.48888889,,,,,,,,,,,,,,,,,
4/03/1958,6.333333333,31.03333333,19.63333333,,,,,,,,,,,,,,,,,
5/03/1958,1.2,30.17777778,21.14444444,,,,,,,,,,,,,,,,,
6/03/1958,48.05555556,25.06666667,18.78888889,,,,,,,,,,,,,,,,,
7/03/1958,0.455555556,29.92222222,18.83333333,,,,,,,,,,,,,,,,,
8/03/1958,0,30.88888889,20.23333333,,,,,,,,,,,,,,,,,
9/03/1958,0.555555556,31.25555556,21.33333333,,,,,,,,,,,,,,,,,
10/03/1958,0,32.56666667,20.63333333,,,,,,,,,,,,,,,,,
11/03/1958,0,32.42222222,21.67777778,,,,,,,,,,,,,,,,,
12/03/1958,0.3,32.07777778,21.88888889,,,,,,,,,,,,,,,,,
13/03/1958,31.12222222,31.93333333,20.68888889,,,,,,,,,,,,,,,,,
14/03/1958,6.711111111,30.07777778,20.8,,,,,,,,,,,,,,,,,
15/03/1958,8.544444444,26.31111111,19.73333333,,,,,,,,,,,,,,,,,
16/03/1958,0.122222222,23.91111111,18.52222222,,,,,,,,,,,,,,,,,
17/03/1958,0.788888889,24.67777778,18.31111111,,,,,,,,,,,,,,,,,
18/03/1958,0.277777778,25.76666667,18.12222222,,,,,,,,,,,,,,,,,
19/03/1958,0.077777778,27.41111111,18.45555556,,,,,,,,,,,,,,,,,
20/03/1958,0.122222222,26.91111111,17.03333333,,,,,,,,,,,,,,,,,
21/03/1958,0,28.42222222,17.85555556,,,,,,,,,,,,,,,,,
22/03/1958,0,31.03333333,18.35555556,,,,,,,,,,,,,,,,,
23/03/1958,0,31.66666667,18.3,,,,,,,,,,,,,,,,,
24/03/1958,0,32.35555556,19.45555556,,,,,,,,,,,,,,,,,
25/03/1958,0,29.7,16.81111111,,,,,,,,,,,,,,,,,
26/03/1958,0,27.24444444,17.86666667,,,,,,,,,,,,,,,,,
27/03/1958,0,28.92222222,15.54444444,,,,,,,,,,,,,,,,,
28/03/1958,0,30.65555556,16.41111111,,,,,,,,,,,,,,,,,
29/03/1958,0,29.05555556,21.67777778,,,,,,,,,,,,,,,,,
30/03/1958,0,26.55555556,20.06666667,,,,,,,,,,,,,,,,,
