YYYY-MM-DD,daily_rain,max_temp,min_temp
1/01/1958,7.533333333,19.38888889,16.06666667
2/01/1958,9.4,24.04444444,13.91111111
3/01/1958,0,25.31111111,14.04444444
4/01/1958,0,25.9,15.15555556
5/01/1958,0,26.43333333,13.97777778
6/01/1958,0,31.76666667,12.32222222
7/01/1958,0,27.28888889,16.51111111
8/01/1958,0,27.31111111,15.44444444
9/01/1958,0,28.7,15.5
10/01/1958,0,30.54444444,13.85555556
11/01/1958,0,32.93333333,15.46666667
12/01/1958,0,34.11111111,18.01111111
13/01/1958,1.122222222,28.47777778,17.32222222
14/01/1958,0,32.78888889,14.68888889
15/01/1958,0,36.56666667,16.33333333
16/01/1958,0,34.92222222,19.28888889
17/01/1958,0.022222222,28.25555556,19.65555556
18/01/1958,7.122222222,28.11111111,17.31111111
19/01/1958,0,32,17.66666667
20/01/1958,1.366666667,27.1,17.86666667
21/01/1958,0.355555556,32.97777778,18.12222222
22/01/1958,21.48888889,31.84444444,14.17777778
23/01/1958,2.122222222,28.78888889,17.43333333
24/01/1958,5,28.67777778,17.4
25/01/1958,1.877777778,29,17.17777778
26/01/1958,10.41111111,30.05555556,18.57777778
27/01/1958,1.388888889,30.28888889,17.91111111
28/01/1958,0.066666667,31.01111111,17.42222222
29/01/1958,0.6,29.34444444,17.76666667
30/01/1958,2.3,29.44444444,18.66666667
31/01/1958,13.78888889,26.28888889,19.73333333
1/02/1958,22.18888889,25.7,21.13333333
2/02/1958,13.68888889,30.63333333,18.23333333
3/02/1958,1.466666667,30.06666667,16.15555556
4/02/1958,0,31.07777778,18.33333333
5/02/1958,0,31.3,18.73333333
6/02/1958,3.544444444,29.95555556,19.44444444
7/02/1958,13.76666667,28.16666667,17.66666667
8/02/1958,0.066666667,30.07777778,17.63333333
9/02/1958,1.177777778,27.37777778,18.82222222
10/02/1958,0.377777778,30.53333333,19.1
11/02/1958,6.088888889,32.08888889,19.25555556
12/02/1958,0.366666667,30.6,18.97777778
13/02/1958,0.811111111,27.82222222,15.38888889
14/02/1958,0,26.68888889,15.35555556
15/02/1958,0,27.3,15.84444444
16/02/1958,0,25.64444444,16.77777778
17/02/1958,0.088888889,23.41111111,17.76666667
18/02/1958,0.033333333,25.47777778,18.15555556
19/02/1958,0.655555556,25.74444444,19.07777778
20/02/1958,6.666666667,26.93333333,20.95555556
21/02/1958,22.37777778,22.3,18.17777778
22/02/1958,2.366666667,24.82222222,15.45555556
23/02/1958,0,30.72222222,14.15555556
24/02/1958,0,26.41111111,15.93333333
25/02/1958,0,26.22222222,14.4
26/02/1958,0,27.66666667,15.2
27/02/1958,0,28.7,14.7
28/02/1958,0,28.87777778,15.31111111
1/03/1958,0,29.22222222,13.96666667
2/03/1958,0,30.26666667,14.53333333
3/03/1958,1.055555556,31.75555556,16.45555556
4/03/1958,16.45555556,27.84444444,16.63333333
5/03/1958,4.911111111,26.34444444,18.41111111
6/03/1958,37.7,22.47777778,16.65555556
7/03/1958,1.044444444,26.93333333,16.45555556
8/03/1958,2.566666667,27.63333333,17.85555556
9/03/1958,1.377777778,28.06666667,18.36666667
10/03/1958,1.955555556,29.77777778,17.13333333
11/03/1958,2,29.48888889,19.13333333
12/03/1958,9.466666667,28.84444444,20.35555556
13/03/1958,2.955555556,29.2,18.27777778
14/03/1958,0.211111111,27.48888889,19.1
15/03/1958,0.311111111,22.72222222,17.24444444
16/03/1958,0.044444444,20.75555556,15.24444444
17/03/1958,0.277777778,21.02222222,15.14444444
18/03/1958,0.022222222,23.35555556,14.82222222
19/03/1958,0,23.23333333,15.32222222
20/03/1958,0.011111111,23.97777778,14.41111111
21/03/1958,0.066666667,25.73333333,15.8
22/03/1958,0,28.65555556,15.38888889
23/03/1958,0,29.55555556,14.68888889
24/03/1958,0,29.48888889,17.08888889
25/03/1958,0,26.97777778,12.55555556
26/03/1958,0,25.04444444,14.78888889
27/03/1958,0,26.4,12.02222222
28/03/1958,0,28.44444444,13.83333333
29/03/1958,0,26.12222222,18.62222222
30/03/1958,0.022222222,23.84444444,17.34444444
31/03/1958,0.966666667,22.63333333,18.06666667
1/04/1958,15.93333333,21.37777778,18.14444444
2/04/1958,1.155555556,22.57777778,18.42222222
3/04/1958,9.933333333,20.67777778,17.91111111
4/04/1958,1.977777778,22.74444444,16.74444444
5/04/1958,0,22.6,14.32222222
6/04/1958,0,23.6,13.48888889
7/04/1958,0.111111111,24.96666667,14.52222222
8/04/1958,0.044444444,26.12222222,12.04444444
9/04/1958,0.322222222,23.21111111,15.8
10/04/1958,0.288888889,21.55555556,13.43333333
11/04/1958,0.733333333,20.03333333,14.8
12/04/1958,0.144444444,21.71111111,13.75555556
13/04/1958,0.755555556,20,14.7
14/04/1958,2.2,22.57777778,14.7
15/04/1958,1.344444444,22.43333333,15.96666667
16/04/1958,14.45555556,25.08888889,15.25555556
17/04/1958,0,23.42222222,9.788888889
18/04/1958,0.622222222,21.83333333,13.55555556
19/04/1958,0,22.18888889,12.47777778
20/04/1958,0,23.56666667,15.13333333
21/04/1958,0.044444444,21.36666667,14.18888889
22/04/1958,0.766666667,21.18888889,14.57777778
23/04/1958,0,22.05555556,11.44444444
24/04/1958,0.466666667,21.35555556,14.04444444
25/04/1958,0.366666667,21.78888889,10.94444444
26/04/1958,0.022222222,20.26666667,10.67777778
27/04/1958,0.255555556,20.16666667,9.966666667
28/04/1958,0.188888889,20.72222222,10.51111111
29/04/1958,0,20.08888889,9.277777778
30/04/1958,0.044444444,20.48888889,11.5
1/05/1958,0.111111111,20.23333333,12.21111111
2/05/1958,0,21.47777778,11.33333333
3/05/1958,0,23.85555556,10.07777778
4/05/1958,0,25.7,9.166666667
5/05/1958,0,24.23333333,6.755555556
6/05/1958,0,22.26666667,7.088888889
7/05/1958,0,22.8,8.877777778
8/05/1958,0,23.77777778,10.55555556
9/05/1958,0,22.68888889,5.855555556
10/05/1958,0,20.81111111,11.54444444
11/05/1958,0,19.27777778,12.52222222
12/05/1958,0.055555556,20.46666667,11.36666667
13/05/1958,0.055555556,22.43333333,8.722222222
14/05/1958,0,25.25555556,13.32222222
15/05/1958,0,23,15.54444444
16/05/1958,0,22.52222222,14.43333333
